ligand,receptor,type,species
Adgrb1,Fgfr3,L,Mouse
Aggf1,Fgfr3,L,Mouse
Angptl6,Fgfr3,L,Mouse
C1ql1,Fgfr3,L,Mouse
C1ql2,Fgfr3,L,Mouse
C1ql3,Fgfr3,L,Mouse
C1ql4,Fgfr3,L,Mouse
C1qtnf12,Fgfr3,L,Mouse
C1qtnf2,Fgfr3,L,Mouse
C1qtnf4,Fgfr3,L,Mouse
C1qtnf6,Fgfr3,L,Mouse
Gm1673,Fgfr3,L,Mouse
1600012H06Rik,Fgfr3,L,Mouse
Cbln1,Fgfr3,L,Mouse
Cbln2,Fgfr3,L,Mouse
Cbln3,Fgfr3,L,Mouse
Cbln4,Fgfr3,L,Mouse
Ccdc3,Fgfr3,L,Mouse
Cdcp2,Fgfr3,L,Mouse
Chadl,Fgfr3,L,Mouse
Creg2,Fgfr3,L,Mouse
Cryab,Fgfr3,L,Mouse
Dand5,Fgfr3,L,Mouse
Deaf1,Fgfr3,L,Mouse
Emc10,Fgfr3,L,Mouse
Enho,Fgfr3,L,Mouse
Enox1,Fgfr3,L,Mouse
Enox2,Fgfr3,L,Mouse
Erfe,Fgfr3,L,Mouse
Ero1a,Fgfr3,L,Mouse
Fam20c,Fgfr3,L,Mouse
Fndc5,Fgfr3,L,Mouse
Frzb,Fgfr3,L,Mouse
Grem2,Fgfr3,L,Mouse
Hdgf,Fgfr3,L,Mouse
Igfals,Fgfr3,L,Mouse
Igfbp2,Fgfr3,L,Mouse
Igfbp3,Fgfr3,L,Mouse
Igfbp7,Fgfr3,L,Mouse
Igfbpl1,Fgfr3,L,Mouse
Iglon5,Fgfr3,L,Mouse
Il17d,Fgfr3,L,Mouse
Islr,Fgfr3,L,Mouse
Kazald1,Fgfr3,L,Mouse
Lad1,Fgfr3,L,Mouse
Lgi3,Fgfr3,L,Mouse
Lypd6,Fgfr3,L,Mouse
Mapt,Fgfr3,L,Mouse
Metrn,Fgfr3,L,Mouse
Metrnl,Fgfr3,L,Mouse
Mettl24,Fgfr3,L,Mouse
Nbl1,Fgfr3,L,Mouse
Ndfip1,Fgfr3,L,Mouse
Neto1,Fgfr3,L,Mouse
Ninj1,Fgfr3,L,Mouse
Ntn5,Fgfr3,L,Mouse
Nxph4,Fgfr3,L,Mouse
Nyx,Fgfr3,L,Mouse
Otor,Fgfr3,L,Mouse
Pcolce,Fgfr3,L,Mouse
Pdzd11,Fgfr3,L,Mouse
Pdzd2,Fgfr3,L,Mouse
Plac9,Fgfr3,L,Mouse
Plxdc1,Fgfr3,L,Mouse
Podn,Fgfr3,L,Mouse
Podnl1,Fgfr3,L,Mouse
Ptx4,Fgfr3,L,Mouse
Rtbdn,Fgfr3,L,Mouse
Sdcbp,Fgfr3,L,Mouse
Sfrp4,Fgfr3,L,Mouse
Sfrp5,Fgfr3,L,Mouse
Soga1,Fgfr3,L,Mouse
Sparc,Fgfr3,L,Mouse
Spata6,Fgfr3,L,Mouse
Spock2,Fgfr3,L,Mouse
Svbp,Fgfr3,L,Mouse
Tafa3,Fgfr3,L,Mouse
Tafa4,Fgfr3,L,Mouse
Timp4,Fgfr3,L,Mouse
Tmem25,Fgfr3,L,Mouse
Tub,Fgfr3,L,Mouse
Tulp1,Fgfr3,L,Mouse
Tulp2,Fgfr3,L,Mouse
Tulp3,Fgfr3,L,Mouse
Vasn,Fgfr3,L,Mouse
Vstm2a,Fgfr3,L,Mouse
Vwc2,Fgfr3,L,Mouse
Wnt10a,Fgfr3,L,Mouse
Wnt10b,Fgfr3,L,Mouse
Wnt9a,Fgfr3,L,Mouse
Ybx1,Fgfr3,L,Mouse
Zbed3,Fgfr3,L,Mouse
Adam23,Nrxn2,L,Mouse
Adgrb1,Nrxn2,L,Mouse
Angptl6,Nrxn2,L,Mouse
C1ql1,Nrxn2,L,Mouse
C1ql2,Nrxn2,L,Mouse
C1ql3,Nrxn2,L,Mouse
C1ql4,Nrxn2,L,Mouse
C1qtnf4,Nrxn2,L,Mouse
C1qtnf6,Nrxn2,L,Mouse
Gm1673,Nrxn2,L,Mouse
1600012H06Rik,Nrxn2,L,Mouse
Calu,Nrxn2,L,Mouse
Cbln1,Nrxn2,L,Mouse
Cbln2,Nrxn2,L,Mouse
Cbln3,Nrxn2,L,Mouse
Cbln4,Nrxn2,L,Mouse
Ccdc3,Nrxn2,L,Mouse
Cdcp2,Nrxn2,L,Mouse
Chadl,Nrxn2,L,Mouse
Cpxm2,Nrxn2,L,Mouse
Deaf1,Nrxn2,L,Mouse
Emc10,Nrxn2,L,Mouse
Enox1,Nrxn2,L,Mouse
Enox2,Nrxn2,L,Mouse
Epyc,Nrxn2,L,Mouse
Erfe,Nrxn2,L,Mouse
Ero1a,Nrxn2,L,Mouse
Fam20c,Nrxn2,L,Mouse
Fndc4,Nrxn2,L,Mouse
Fndc5,Nrxn2,L,Mouse
Frzb,Nrxn2,L,Mouse
Hdgf,Nrxn2,L,Mouse
Htra1,Nrxn2,L,Mouse
Igfals,Nrxn2,L,Mouse
Igfbp7,Nrxn2,L,Mouse
Igfbpl1,Nrxn2,L,Mouse
Iglon5,Nrxn2,L,Mouse
Islr,Nrxn2,L,Mouse
Kazald1,Nrxn2,L,Mouse
Lad1,Nrxn2,L,Mouse
Lgi2,Nrxn2,L,Mouse
Lgi3,Nrxn2,L,Mouse
Lypd6,Nrxn2,L,Mouse
Mapt,Nrxn2,L,Mouse
Matn3,Nrxn2,L,Mouse
Metrnl,Nrxn2,L,Mouse
Ndfip1,Nrxn2,L,Mouse
Nenf,Nrxn2,L,Mouse
Neto1,Nrxn2,L,Mouse
Ninj1,Nrxn2,L,Mouse
Nxph4,Nrxn2,L,Mouse
Ogn,Nrxn2,L,Mouse
Otor,Nrxn2,L,Mouse
Pcdha1,Nrxn2,L,Mouse
Pcdha9,Nrxn2,L,Mouse
Pcdha6,Nrxn2,L,Mouse
Pcolce,Nrxn2,L,Mouse
Pcolce2,Nrxn2,L,Mouse
Pdzd11,Nrxn2,L,Mouse
Plxdc1,Nrxn2,L,Mouse
Podn,Nrxn2,L,Mouse
Podnl1,Nrxn2,L,Mouse
Sdcbp,Nrxn2,L,Mouse
Sfrp5,Nrxn2,L,Mouse
Sparc,Nrxn2,L,Mouse
Spock2,Nrxn2,L,Mouse
Svbp,Nrxn2,L,Mouse
Tmem25,Nrxn2,L,Mouse
Tub,Nrxn2,L,Mouse
Tulp1,Nrxn2,L,Mouse
Tulp3,Nrxn2,L,Mouse
Vasn,Nrxn2,L,Mouse
Vstm2a,Nrxn2,L,Mouse
Vwc2,Nrxn2,L,Mouse
Wnt10a,Nrxn2,L,Mouse
Ybx1,Nrxn2,L,Mouse
Adam23,Nrxn3,L,Mouse
Adgrb1,Nrxn3,L,Mouse
Angptl6,Nrxn3,L,Mouse
C1ql1,Nrxn3,L,Mouse
C1ql2,Nrxn3,L,Mouse
C1ql3,Nrxn3,L,Mouse
C1ql4,Nrxn3,L,Mouse
C1qtnf4,Nrxn3,L,Mouse
C1qtnf6,Nrxn3,L,Mouse
Gm1673,Nrxn3,L,Mouse
1600012H06Rik,Nrxn3,L,Mouse
Calu,Nrxn3,L,Mouse
Cbln1,Nrxn3,L,Mouse
Cbln2,Nrxn3,L,Mouse
Cbln3,Nrxn3,L,Mouse
Cbln4,Nrxn3,L,Mouse
Ccdc3,Nrxn3,L,Mouse
Cdcp2,Nrxn3,L,Mouse
Chadl,Nrxn3,L,Mouse
Cpxm2,Nrxn3,L,Mouse
Deaf1,Nrxn3,L,Mouse
Emc10,Nrxn3,L,Mouse
Enox1,Nrxn3,L,Mouse
Enox2,Nrxn3,L,Mouse
Epyc,Nrxn3,L,Mouse
Erfe,Nrxn3,L,Mouse
Ero1a,Nrxn3,L,Mouse
Fam20c,Nrxn3,L,Mouse
Fndc4,Nrxn3,L,Mouse
Fndc5,Nrxn3,L,Mouse
Frzb,Nrxn3,L,Mouse
Hdgf,Nrxn3,L,Mouse
Htra1,Nrxn3,L,Mouse
Igfals,Nrxn3,L,Mouse
Igfbp7,Nrxn3,L,Mouse
Igfbpl1,Nrxn3,L,Mouse
Iglon5,Nrxn3,L,Mouse
Islr,Nrxn3,L,Mouse
Kazald1,Nrxn3,L,Mouse
Lad1,Nrxn3,L,Mouse
Lgi2,Nrxn3,L,Mouse
Lgi3,Nrxn3,L,Mouse
Lypd6,Nrxn3,L,Mouse
Mapt,Nrxn3,L,Mouse
Matn3,Nrxn3,L,Mouse
Metrnl,Nrxn3,L,Mouse
Ndfip1,Nrxn3,L,Mouse
Nenf,Nrxn3,L,Mouse
Neto1,Nrxn3,L,Mouse
Ninj1,Nrxn3,L,Mouse
Nxph4,Nrxn3,L,Mouse
Ogn,Nrxn3,L,Mouse
Otor,Nrxn3,L,Mouse
Pcdha1,Nrxn3,L,Mouse
Pcdha9,Nrxn3,L,Mouse
Pcdha6,Nrxn3,L,Mouse
Pcolce,Nrxn3,L,Mouse
Pcolce2,Nrxn3,L,Mouse
Pdzd11,Nrxn3,L,Mouse
Plxdc1,Nrxn3,L,Mouse
Podn,Nrxn3,L,Mouse
Podnl1,Nrxn3,L,Mouse
Sdcbp,Nrxn3,L,Mouse
Sfrp5,Nrxn3,L,Mouse
Sparc,Nrxn3,L,Mouse
Spock2,Nrxn3,L,Mouse
Svbp,Nrxn3,L,Mouse
Tmem25,Nrxn3,L,Mouse
Tub,Nrxn3,L,Mouse
Tulp1,Nrxn3,L,Mouse
Tulp3,Nrxn3,L,Mouse
Vasn,Nrxn3,L,Mouse
Vstm2a,Nrxn3,L,Mouse
Vwc2,Nrxn3,L,Mouse
Wnt10a,Nrxn3,L,Mouse
Ybx1,Nrxn3,L,Mouse
Adam23,Adgrl3,LR,Mouse
Adamtsl5,Adgrl3,LR,Mouse
Adgrb1,Adgrl3,LR,Mouse
Aggf1,Adgrl3,LR,Mouse
Angptl6,Adgrl3,LR,Mouse
C1ql1,Adgrl3,LR,Mouse
C1ql2,Adgrl3,LR,Mouse
C1ql3,Adgrl3,LR,Mouse
C1ql4,Adgrl3,LR,Mouse
C1qtnf12,Adgrl3,LR,Mouse
C1qtnf2,Adgrl3,LR,Mouse
C1qtnf4,Adgrl3,LR,Mouse
C1qtnf6,Adgrl3,LR,Mouse
Gm1673,Adgrl3,LR,Mouse
1600012H06Rik,Adgrl3,LR,Mouse
Cbln1,Adgrl3,LR,Mouse
Cbln2,Adgrl3,LR,Mouse
Cbln3,Adgrl3,LR,Mouse
Cbln4,Adgrl3,LR,Mouse
Ccdc3,Adgrl3,LR,Mouse
Cdcp2,Adgrl3,LR,Mouse
Chadl,Adgrl3,LR,Mouse
Creg2,Adgrl3,LR,Mouse
Cryab,Adgrl3,LR,Mouse
Dand5,Adgrl3,LR,Mouse
Deaf1,Adgrl3,LR,Mouse
Emc10,Adgrl3,LR,Mouse
Enho,Adgrl3,LR,Mouse
Enox1,Adgrl3,LR,Mouse
Enox2,Adgrl3,LR,Mouse
Epdr1,Adgrl3,LR,Mouse
Erfe,Adgrl3,LR,Mouse
Ero1a,Adgrl3,LR,Mouse
Fam20c,Adgrl3,LR,Mouse
Fndc5,Adgrl3,LR,Mouse
Frzb,Adgrl3,LR,Mouse
Grem2,Adgrl3,LR,Mouse
Hdgf,Adgrl3,LR,Mouse
Igfals,Adgrl3,LR,Mouse
Igfbp2,Adgrl3,LR,Mouse
Igfbp3,Adgrl3,LR,Mouse
Igfbp7,Adgrl3,LR,Mouse
Igfbpl1,Adgrl3,LR,Mouse
Iglon5,Adgrl3,LR,Mouse
Il17d,Adgrl3,LR,Mouse
Islr,Adgrl3,LR,Mouse
Kazald1,Adgrl3,LR,Mouse
Lad1,Adgrl3,LR,Mouse
Lgi3,Adgrl3,LR,Mouse
Lypd6,Adgrl3,LR,Mouse
Mapt,Adgrl3,LR,Mouse
Metrn,Adgrl3,LR,Mouse
Metrnl,Adgrl3,LR,Mouse
Mettl24,Adgrl3,LR,Mouse
Nbl1,Adgrl3,LR,Mouse
Ndfip1,Adgrl3,LR,Mouse
Neto1,Adgrl3,LR,Mouse
Ninj1,Adgrl3,LR,Mouse
Ntn5,Adgrl3,LR,Mouse
Nxph4,Adgrl3,LR,Mouse
Nyx,Adgrl3,LR,Mouse
Otor,Adgrl3,LR,Mouse
Pcdha1,Adgrl3,LR,Mouse
Pcolce,Adgrl3,LR,Mouse
Pdzd11,Adgrl3,LR,Mouse
Pdzd2,Adgrl3,LR,Mouse
Plac9,Adgrl3,LR,Mouse
Plxdc1,Adgrl3,LR,Mouse
Podn,Adgrl3,LR,Mouse
Podnl1,Adgrl3,LR,Mouse
Ptx4,Adgrl3,LR,Mouse
Rtbdn,Adgrl3,LR,Mouse
Sdcbp,Adgrl3,LR,Mouse
Sfrp4,Adgrl3,LR,Mouse
Sfrp5,Adgrl3,LR,Mouse
Soga1,Adgrl3,LR,Mouse
Sparc,Adgrl3,LR,Mouse
Spata6,Adgrl3,LR,Mouse
Spock2,Adgrl3,LR,Mouse
Svbp,Adgrl3,LR,Mouse
Tafa3,Adgrl3,LR,Mouse
Tafa4,Adgrl3,LR,Mouse
Timp4,Adgrl3,LR,Mouse
Tmem25,Adgrl3,LR,Mouse
Tub,Adgrl3,LR,Mouse
Tulp1,Adgrl3,LR,Mouse
Tulp2,Adgrl3,LR,Mouse
Tulp3,Adgrl3,LR,Mouse
Vasn,Adgrl3,LR,Mouse
Vstm2a,Adgrl3,LR,Mouse
Vstm4,Adgrl3,LR,Mouse
Vwa1,Adgrl3,LR,Mouse
Vwc2,Adgrl3,LR,Mouse
Wnt10a,Adgrl3,LR,Mouse
Wnt10b,Adgrl3,LR,Mouse
Wnt9a,Adgrl3,LR,Mouse
Ybx1,Adgrl3,LR,Mouse
Zbed3,Adgrl3,LR,Mouse
Fgf12,Adgrl3,R,Mouse
Fgf13,Adgrl3,R,Mouse
Fgf11,Adgrl3,R,Mouse
Fgf14,Adgrl3,R,Mouse
Nrg2,Adgrl3,R,Mouse
Wnt9b,Adgrl3,R,Mouse
Ereg,Adgrl3,R,Mouse
Sema3e,Adgrl3,R,Mouse
Fgf10,Adgrl3,R,Mouse
Fgf16,Adgrl3,R,Mouse
Dhh,Adgrl3,R,Mouse
Efna2,Adgrl3,R,Mouse
Fgf17,Adgrl3,R,Mouse
Pspn,Adgrl3,R,Mouse
Fgf18,Adgrl3,R,Mouse
Farp2,Adgrl3,R,Mouse
Sema3d,Adgrl3,R,Mouse
Nxph2,Adgrl3,R,Mouse
Nxph3,Adgrl3,R,Mouse
Gdf11,Adgrl3,R,Mouse
Sema4f,Adgrl3,R,Mouse
Tgfa,Adgrl3,R,Mouse
Pdgfa,Adgrl3,R,Mouse
Wnt1,Adgrl3,R,Mouse
Fgf1,Adgrl3,R,Mouse
Dcn,Adgrl3,R,Mouse
Inhba,Adgrl3,R,Mouse
Fgf4,Adgrl3,R,Mouse
Vim,Adgrl3,R,Mouse
Fgf2,Adgrl3,R,Mouse
Inhbb,Adgrl3,R,Mouse
Wnt2,Adgrl3,R,Mouse
Cfc1,Adgrl3,R,Mouse
Rbp3,Adgrl3,R,Mouse
Fgf6,Adgrl3,R,Mouse
Fgf3,Adgrl3,R,Mouse
Fgf5,Adgrl3,R,Mouse
Bmp2,Adgrl3,R,Mouse
Bmp4,Adgrl3,R,Mouse
Bmp3,Adgrl3,R,Mouse
Bmp1,Adgrl3,R,Mouse
Pkm,Adgrl3,R,Mouse
Areg,Adgrl3,R,Mouse
Bmp7,Adgrl3,R,Mouse
Fst,Adgrl3,R,Mouse
Efna1,Adgrl3,R,Mouse
Bmp5,Adgrl3,R,Mouse
Bmp6,Adgrl3,R,Mouse
Igfbp4,Adgrl3,R,Mouse
Fgf9,Adgrl3,R,Mouse
Ntf5,Adgrl3,R,Mouse
Btc,Adgrl3,R,Mouse
Gdnf,Adgrl3,R,Mouse
Wnt5a,Adgrl3,R,Mouse
Gdf5,Adgrl3,R,Mouse
Ccn3,Adgrl3,R,Mouse
Pgf,Adgrl3,R,Mouse
Lum,Adgrl3,R,Mouse
Efna3,Adgrl3,R,Mouse
Efna4,Adgrl3,R,Mouse
Efnb2,Adgrl3,R,Mouse
Efna5,Adgrl3,R,Mouse
Mfap2,Adgrl3,R,Mouse
Fgf8,Adgrl3,R,Mouse
Inhbc,Adgrl3,R,Mouse
Wnt3,Adgrl3,R,Mouse
Wnt3a,Adgrl3,R,Mouse
Nrg3,Adgrl3,R,Mouse
Nxph1,Adgrl3,R,Mouse
Efnb1,Adgrl3,R,Mouse
Nrg1,Adgrl3,R,Mouse
Efemp1,Adgrl3,R,Mouse
Sema3b,Adgrl3,R,Mouse
Sema3f,Adgrl3,R,Mouse
Sema3a,Adgrl3,R,Mouse
Ihh,Adgrl3,R,Mouse
Efnb3,Adgrl3,R,Mouse
Rspo4,Adgrl3,R,Mouse
Rspo1,Adgrl3,R,Mouse
Sytl3,Adgrl3,R,Mouse
Artn,Adgrl3,R,Mouse
Gdf6,Adgrl3,R,Mouse
Rgmb,Adgrl3,R,Mouse
Rspo2,Adgrl3,R,Mouse
Dlk2,Adgrl3,R,Mouse
Sostdc1,Adgrl3,R,Mouse
Gdf7,Adgrl3,R,Mouse
Nlgn2,Adgrl3,R,Mouse
Wnt8b,Adgrl3,R,Mouse
Rgma,Adgrl3,R,Mouse
Bcan,Adgrl3,R,Mouse
Lrig1,Adgrl3,R,Mouse
Hbegf,Adgrl3,R,Mouse
Nrtn,Adgrl3,R,Mouse
Sost,Adgrl3,R,Mouse
Jam3,Adgrl3,R,Mouse
Rspo3,Adgrl3,R,Mouse
Pdgfd,Adgrl3,R,Mouse
Wnt8a,Adgrl3,R,Mouse
Fgf22,Adgrl3,R,Mouse
Fgf20,Adgrl3,R,Mouse
Pdgfc,Adgrl3,R,Mouse
Sema3g,Adgrl3,R,Mouse
Fgf21,Adgrl3,R,Mouse
Dll3,Adgrl3,R,Mouse
Nlgn3,Adgrl3,R,Mouse
Rph3a,Adgrl3,R,Mouse
Adam23,Dscaml1,LR,Mouse
Adgrb1,Dscaml1,LR,Mouse
C1ql1,Dscaml1,LR,Mouse
C1ql2,Dscaml1,LR,Mouse
C1ql3,Dscaml1,LR,Mouse
C1ql4,Dscaml1,LR,Mouse
C1qtnf4,Dscaml1,LR,Mouse
1600012H06Rik,Dscaml1,LR,Mouse
Cbln1,Dscaml1,LR,Mouse
Cbln2,Dscaml1,LR,Mouse
Cbln3,Dscaml1,LR,Mouse
Cbln4,Dscaml1,LR,Mouse
Chadl,Dscaml1,LR,Mouse
Deaf1,Dscaml1,LR,Mouse
Emc10,Dscaml1,LR,Mouse
Enox1,Dscaml1,LR,Mouse
Fam20c,Dscaml1,LR,Mouse
Fndc5,Dscaml1,LR,Mouse
Frzb,Dscaml1,LR,Mouse
Hdgf,Dscaml1,LR,Mouse
Igfals,Dscaml1,LR,Mouse
Igfbp7,Dscaml1,LR,Mouse
Iglon5,Dscaml1,LR,Mouse
Islr,Dscaml1,LR,Mouse
Kazald1,Dscaml1,LR,Mouse
Lgi3,Dscaml1,LR,Mouse
Neto1,Dscaml1,LR,Mouse
Pcolce,Dscaml1,LR,Mouse
Pdzd11,Dscaml1,LR,Mouse
Podn,Dscaml1,LR,Mouse
Podnl1,Dscaml1,LR,Mouse
Sdcbp,Dscaml1,LR,Mouse
Sfrp5,Dscaml1,LR,Mouse
Sparc,Dscaml1,LR,Mouse
Spock2,Dscaml1,LR,Mouse
Tulp1,Dscaml1,LR,Mouse
Vstm2a,Dscaml1,LR,Mouse
Vwc2,Dscaml1,LR,Mouse
Fgf12,Dscaml1,R,Mouse
Fgf13,Dscaml1,R,Mouse
Fgf11,Dscaml1,R,Mouse
Fgf14,Dscaml1,R,Mouse
Nrg2,Dscaml1,R,Mouse
Sema3e,Dscaml1,R,Mouse
Fgf17,Dscaml1,R,Mouse
Fgf18,Dscaml1,R,Mouse
Sema3d,Dscaml1,R,Mouse
Tgfa,Dscaml1,R,Mouse
Dcn,Dscaml1,R,Mouse
Fgf5,Dscaml1,R,Mouse
Btc,Dscaml1,R,Mouse
Fgf8,Dscaml1,R,Mouse
Nrg1,Dscaml1,R,Mouse
Sema3b,Dscaml1,R,Mouse
Sema3f,Dscaml1,R,Mouse
Sema3a,Dscaml1,R,Mouse
Rspo4,Dscaml1,R,Mouse
Rspo1,Dscaml1,R,Mouse
Rspo2,Dscaml1,R,Mouse
Lrig1,Dscaml1,R,Mouse
Rspo3,Dscaml1,R,Mouse
Adam23,Nfasc,LR,Mouse
Adamtsl5,Nfasc,LR,Mouse
Adgrb1,Nfasc,LR,Mouse
Aggf1,Nfasc,LR,Mouse
Angptl6,Nfasc,LR,Mouse
C1ql1,Nfasc,LR,Mouse
C1ql2,Nfasc,LR,Mouse
C1ql3,Nfasc,LR,Mouse
C1ql4,Nfasc,LR,Mouse
C1qtnf12,Nfasc,LR,Mouse
C1qtnf2,Nfasc,LR,Mouse
C1qtnf4,Nfasc,LR,Mouse
C1qtnf6,Nfasc,LR,Mouse
Gm1673,Nfasc,LR,Mouse
1600012H06Rik,Nfasc,LR,Mouse
Cbln1,Nfasc,LR,Mouse
Cbln2,Nfasc,LR,Mouse
Cbln3,Nfasc,LR,Mouse
Cbln4,Nfasc,LR,Mouse
Ccdc3,Nfasc,LR,Mouse
Cdcp2,Nfasc,LR,Mouse
Chadl,Nfasc,LR,Mouse
Creg2,Nfasc,LR,Mouse
Cryab,Nfasc,LR,Mouse
Deaf1,Nfasc,LR,Mouse
Emc10,Nfasc,LR,Mouse
Enox1,Nfasc,LR,Mouse
Enox2,Nfasc,LR,Mouse
Epdr1,Nfasc,LR,Mouse
Erfe,Nfasc,LR,Mouse
Ero1a,Nfasc,LR,Mouse
Fam20c,Nfasc,LR,Mouse
Fmod,Nfasc,LR,Mouse
Fndc4,Nfasc,LR,Mouse
Fndc5,Nfasc,LR,Mouse
Frzb,Nfasc,LR,Mouse
Grem2,Nfasc,LR,Mouse
Hdgf,Nfasc,LR,Mouse
Igfals,Nfasc,LR,Mouse
Igfbp2,Nfasc,LR,Mouse
Igfbp3,Nfasc,LR,Mouse
Igfbp7,Nfasc,LR,Mouse
Igfbpl1,Nfasc,LR,Mouse
Iglon5,Nfasc,LR,Mouse
Il17d,Nfasc,LR,Mouse
Islr,Nfasc,LR,Mouse
Kazald1,Nfasc,LR,Mouse
Lad1,Nfasc,LR,Mouse
Lgi3,Nfasc,LR,Mouse
Lypd6,Nfasc,LR,Mouse
Mapt,Nfasc,LR,Mouse
Matn4,Nfasc,LR,Mouse
Metrn,Nfasc,LR,Mouse
Metrnl,Nfasc,LR,Mouse
Mettl24,Nfasc,LR,Mouse
Nbl1,Nfasc,LR,Mouse
Ndfip1,Nfasc,LR,Mouse
Neto1,Nfasc,LR,Mouse
Ninj1,Nfasc,LR,Mouse
Ntn5,Nfasc,LR,Mouse
Nxph4,Nfasc,LR,Mouse
Nyx,Nfasc,LR,Mouse
Otor,Nfasc,LR,Mouse
Pcdha1,Nfasc,LR,Mouse
Pcolce,Nfasc,LR,Mouse
Pdzd11,Nfasc,LR,Mouse
Pdzd2,Nfasc,LR,Mouse
Plac9,Nfasc,LR,Mouse
Plxdc1,Nfasc,LR,Mouse
Podn,Nfasc,LR,Mouse
Podnl1,Nfasc,LR,Mouse
Prelp,Nfasc,LR,Mouse
Ptx4,Nfasc,LR,Mouse
Rtbdn,Nfasc,LR,Mouse
Sdcbp,Nfasc,LR,Mouse
Sfrp4,Nfasc,LR,Mouse
Sfrp5,Nfasc,LR,Mouse
Soga1,Nfasc,LR,Mouse
Sparc,Nfasc,LR,Mouse
Spata6,Nfasc,LR,Mouse
Spock2,Nfasc,LR,Mouse
Svbp,Nfasc,LR,Mouse
Tafa3,Nfasc,LR,Mouse
Tafa4,Nfasc,LR,Mouse
Timp4,Nfasc,LR,Mouse
Tmem25,Nfasc,LR,Mouse
Tub,Nfasc,LR,Mouse
Tulp1,Nfasc,LR,Mouse
Tulp3,Nfasc,LR,Mouse
Vasn,Nfasc,LR,Mouse
Vstm2a,Nfasc,LR,Mouse
Vstm4,Nfasc,LR,Mouse
Vwa1,Nfasc,LR,Mouse
Vwc2,Nfasc,LR,Mouse
Wnt10a,Nfasc,LR,Mouse
Wnt10b,Nfasc,LR,Mouse
Wnt9a,Nfasc,LR,Mouse
Ybx1,Nfasc,LR,Mouse
Zbed3,Nfasc,LR,Mouse
Fgf12,Nfasc,R,Mouse
Fgf13,Nfasc,R,Mouse
Fgf11,Nfasc,R,Mouse
Fgf14,Nfasc,R,Mouse
Nrg2,Nfasc,R,Mouse
Wnt9b,Nfasc,R,Mouse
Ereg,Nfasc,R,Mouse
Sema3e,Nfasc,R,Mouse
Fgf10,Nfasc,R,Mouse
Fgf16,Nfasc,R,Mouse
Dhh,Nfasc,R,Mouse
Efna2,Nfasc,R,Mouse
Fgf17,Nfasc,R,Mouse
Fgf18,Nfasc,R,Mouse
Farp2,Nfasc,R,Mouse
Sema3d,Nfasc,R,Mouse
Nxph2,Nfasc,R,Mouse
Nxph3,Nfasc,R,Mouse
Gdf11,Nfasc,R,Mouse
Sema4f,Nfasc,R,Mouse
Tgfa,Nfasc,R,Mouse
Pdgfa,Nfasc,R,Mouse
Wnt1,Nfasc,R,Mouse
Fgf1,Nfasc,R,Mouse
Dcn,Nfasc,R,Mouse
Inhba,Nfasc,R,Mouse
Fgf4,Nfasc,R,Mouse
Vim,Nfasc,R,Mouse
Fgf2,Nfasc,R,Mouse
Inhbb,Nfasc,R,Mouse
Wnt2,Nfasc,R,Mouse
Cfc1,Nfasc,R,Mouse
Rbp3,Nfasc,R,Mouse
Fgf6,Nfasc,R,Mouse
Fgf3,Nfasc,R,Mouse
Fgf5,Nfasc,R,Mouse
Bmp2,Nfasc,R,Mouse
Bmp1,Nfasc,R,Mouse
Pkm,Nfasc,R,Mouse
Areg,Nfasc,R,Mouse
Bmp7,Nfasc,R,Mouse
Fst,Nfasc,R,Mouse
Efna1,Nfasc,R,Mouse
Bmp5,Nfasc,R,Mouse
Bmp6,Nfasc,R,Mouse
Igfbp4,Nfasc,R,Mouse
Fgf9,Nfasc,R,Mouse
Ntf5,Nfasc,R,Mouse
Btc,Nfasc,R,Mouse
Gdnf,Nfasc,R,Mouse
Wnt5a,Nfasc,R,Mouse
Gdf5,Nfasc,R,Mouse
Ccn3,Nfasc,R,Mouse
Pgf,Nfasc,R,Mouse
Lum,Nfasc,R,Mouse
Efna3,Nfasc,R,Mouse
Efna4,Nfasc,R,Mouse
Efnb2,Nfasc,R,Mouse
Efna5,Nfasc,R,Mouse
Mfap2,Nfasc,R,Mouse
Fgf8,Nfasc,R,Mouse
Wnt3,Nfasc,R,Mouse
Wnt3a,Nfasc,R,Mouse
Nrg3,Nfasc,R,Mouse
Nxph1,Nfasc,R,Mouse
Efnb1,Nfasc,R,Mouse
Nrg1,Nfasc,R,Mouse
Efemp1,Nfasc,R,Mouse
Sema3b,Nfasc,R,Mouse
Sema3f,Nfasc,R,Mouse
Sema3a,Nfasc,R,Mouse
Ihh,Nfasc,R,Mouse
Efnb3,Nfasc,R,Mouse
Rspo4,Nfasc,R,Mouse
Rspo1,Nfasc,R,Mouse
Sytl3,Nfasc,R,Mouse
Artn,Nfasc,R,Mouse
Gdf6,Nfasc,R,Mouse
Rgmb,Nfasc,R,Mouse
Rspo2,Nfasc,R,Mouse
Dlk2,Nfasc,R,Mouse
Sostdc1,Nfasc,R,Mouse
Gdf7,Nfasc,R,Mouse
Nlgn2,Nfasc,R,Mouse
Wnt8b,Nfasc,R,Mouse
Rgma,Nfasc,R,Mouse
Bcan,Nfasc,R,Mouse
Lrig1,Nfasc,R,Mouse
Hbegf,Nfasc,R,Mouse
Nrtn,Nfasc,R,Mouse
Sost,Nfasc,R,Mouse
